stem,precision,recall,target_count,non_target_count,original_words
eco-system,1.0,0.08695652173913043,2,0,"eco-system, eco-systems"
osc,1.0,0.08695652173913043,2,0,osce
eir,1.0,0.08695652173913043,2,0,eir
divert,1.0,0.08695652173913043,2,0,"divert, diverted"
novel,1.0,0.08695652173913043,2,0,novel
upstream,1.0,0.08695652173913043,2,0,upstream
ippc,1.0,0.08695652173913043,2,0,ippc
particul,1.0,0.08695652173913043,2,0,particulate
traffick,1.0,0.08695652173913043,2,0,trafficking
awai,1.0,0.08695652173913043,2,0,away
comitology,1.0,0.08695652173913043,2,0,comitology
danger,1.0,0.08695652173913043,2,0,dangerous
fifth,1.0,0.08695652173913043,2,0,fifth
urg,1.0,0.08695652173913043,2,0,"urged, urges"
thirty,1.0,0.08695652173913043,2,0,thirty
uniformly,1.0,0.08695652173913043,2,0,uniformly
impedi,1.0,0.08695652173913043,2,0,impediment
unlik,1.0,0.08695652173913043,2,0,unlike
advertis,1.0,0.08695652173913043,2,0,"advertised, advertising"
evidence-bas,1.0,0.08695652173913043,2,0,evidence-based
catalyst,1.0,0.08695652173913043,2,0,catalyst
fte,1.0,0.08695652173913043,2,0,fte
granularity,1.0,0.08695652173913043,2,0,granularity
entrepreneur,1.0,0.08695652173913043,2,0,entrepreneurs
count,1.0,0.08695652173913043,2,0,counted
mapp,1.0,0.08695652173913043,2,0,mapping
wage,1.0,0.08695652173913043,2,0,"wage, wages"
articulat,1.0,0.08695652173913043,2,0,articulated
shelter,1.0,0.08695652173913043,2,0,shelter
flar,1.0,0.08695652173913043,2,0,flaring
convinc,1.0,0.08695652173913043,2,0,convinced
spatial,1.0,0.08695652173913043,2,0,spatial
embodi,1.0,0.08695652173913043,2,0,embodied
ian,1.0,0.08695652173913043,2,0,"ian, ians"
flood,1.0,0.08695652173913043,2,0,"flood, flooding"
upload,1.0,0.08695652173913043,2,0,uploaded
academia,1.0,0.08695652173913043,2,0,academia
tape,1.0,0.08695652173913043,2,0,tape
litter,1.0,0.08695652173913043,2,0,"litter, littering"
hotel,1.0,0.08695652173913043,2,0,"hotel, hotels"
novelty,1.0,0.08695652173913043,2,0,novelty
fee,1.0,0.08695652173913043,2,0,fees
hundr,1.0,0.08695652173913043,2,0,hundred
teu,1.0,0.08695652173913043,2,0,teu
hospit,1.0,0.08695652173913043,2,0,hospitals
battl,1.0,0.08695652173913043,2,0,battle
livestock,1.0,0.08695652173913043,2,0,livestock
medium-term,1.0,0.08695652173913043,2,0,medium-term
renov,1.0,0.08695652173913043,2,0,renovation
overhead,1.0,0.08695652173913043,2,0,"overhead, overheads"
whistle-blow,1.0,0.08695652173913043,2,0,whistle-blowers
criminalis,1.0,0.08695652173913043,2,0,"criminalisation, criminalise"
bird,1.0,0.08695652173913043,2,0,"bird, birds"
deplet,1.0,0.08695652173913043,2,0,"depleted, depletion"
steady,1.0,0.08695652173913043,2,0,steady
umbrella,1.0,0.08695652173913043,2,0,umbrella
nitrat,1.0,0.08695652173913043,2,0,nitrates
coastal,1.0,0.08695652173913043,2,0,coastal
underwai,1.0,0.08695652173913043,2,0,underway
quantify,1.0,0.08695652173913043,2,0,quantify
wetland,1.0,0.08695652173913043,2,0,wetlands
asid,1.0,0.08695652173913043,2,0,aside
irregular,1.0,0.08695652173913043,2,0,irregularities
wind,1.0,0.08695652173913043,2,0,wind
refin,1.0,0.08695652173913043,2,0,"refined, refining"
tropic,1.0,0.08695652173913043,2,0,"tropical, tropics"
salari,1.0,0.08695652173913043,2,0,salaries
two-year,1.0,0.08695652173913043,2,0,two-year
hierarchy,1.0,0.08695652173913043,2,0,hierarchy
nois,1.0,0.08695652173913043,2,0,noise
