stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
atni,9999.0,54,0,0.014786418400876232,0.0,atni
gervasini,9999.0,54,0,0.014786418400876232,0.0,gervasini
crepe,9999.0,53,0,0.014512595837897043,0.0,"crepe, crepes"
riven,9999.0,53,0,0.014512595837897043,0.0,riven
amico,9999.0,53,0,0.014512595837897043,0.0,amico
gef,9999.0,52,0,0.014238773274917854,0.0,"gef, gefs"
stitch-bond,9999.0,52,0,0.014238773274917854,0.0,"stitch-bonded, stitch-bonding"
electrodischarg,9999.0,52,0,0.014238773274917854,0.0,electrodischarge
sulphur-treat,9999.0,51,0,0.013964950711938665,0.0,sulphur-treated
hmwb,9999.0,51,0,0.013964950711938665,0.0,"hmwb, hmwbs"
crep,9999.0,51,0,0.013964950711938665,0.0,"crep, creped, creps"
weft-wind,9999.0,51,0,0.013964950711938665,0.0,weft-winding
polyaromat,9999.0,51,0,0.013964950711938665,0.0,"polyaromatic, polyaromatics"
trophic,9999.0,51,0,0.013964950711938665,0.0,trophic
ollut,9999.0,51,0,0.013964950711938665,0.0,"ollutant, ollutants, olluter, olluting, ollution"
overachiev,9999.0,51,0,0.013964950711938665,0.0,"overachieve, overachieved, overachievement, overachievements, overachieves, overachieving"
electro-mobility,9999.0,51,0,0.013964950711938665,0.0,electro-mobility
roadrol,9999.0,51,0,0.013964950711938665,0.0,roadrollers
mileomet,9999.0,51,0,0.013964950711938665,0.0,mileometers
mire,9999.0,50,0,0.013691128148959474,0.0,"mire, mires"
biodiversity-friendly,9999.0,50,0,0.013691128148959474,0.0,biodiversity-friendly
sight-test,9999.0,50,0,0.013691128148959474,0.0,sight-testing
snowblow,9999.0,50,0,0.013691128148959474,0.0,snowblowers
super-heat,9999.0,50,0,0.013691128148959474,0.0,"super-heated, super-heaters"
carbon-neutr,9999.0,50,0,0.013691128148959474,0.0,carbon-neutral
bycatch,9999.0,50,0,0.013691128148959474,0.0,"bycatch, bycatches"
m-phenylenediamin,9999.0,50,0,0.013691128148959474,0.0,m-phenylenediamine
terephthalamid,9999.0,49,0,0.013417305585980284,0.0,terephthalamide
sulphonaphthen,9999.0,49,0,0.013417305585980284,0.0,sulphonaphthenic
env_eta,9999.0,49,0,0.013417305585980284,0.0,env_eta
epea,9999.0,49,0,0.013417305585980284,0.0,"epea, epeas"
multichip,9999.0,49,0,0.013417305585980284,0.0,"multichip, multichips"
agro-forestry,9999.0,49,0,0.013417305585980284,0.0,agro-forestry
lugato,9999.0,49,0,0.013417305585980284,0.0,lugato
polariz,9999.0,49,0,0.013417305585980284,0.0,"polarized, polarizing"
mistreat,9999.0,49,0,0.013417305585980284,0.0,"mistreated, mistreating, mistreatment, mistreatments"
besom,9999.0,49,0,0.013417305585980284,0.0,besoms
cesec,9999.0,49,0,0.013417305585980284,0.0,cesec
hair-net,9999.0,48,0,0.013143483023001095,0.0,hair-nets
decarboni,9999.0,48,0,0.013143483023001095,0.0,"decarboni, decarbonis"
silicid,9999.0,48,0,0.013143483023001095,0.0,"silicide, silicides"
fly-pap,9999.0,47,0,0.012869660460021906,0.0,fly-papers
geoss,9999.0,47,0,0.012869660460021906,0.0,geoss
renaturalis,9999.0,47,0,0.012869660460021906,0.0,"renaturalisation, renaturalise, renaturalising"
unstuff,9999.0,47,0,0.012869660460021906,0.0,unstuffed
toaster,9999.0,46,0,0.012595837897042717,0.0,"toaster, toasters"
ticket-issu,9999.0,46,0,0.012595837897042717,0.0,ticket-issuing
