stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
bpr,9999.0,65,0,0.01370151770657673,0.0,"bpr, bprs"
cosmic,9999.0,65,0,0.01370151770657673,0.0,cosmic
ipb,9999.0,64,0,0.013490725126475547,0.0,"ipb, ipbes"
scalability,9999.0,64,0,0.013490725126475547,0.0,scalability
thiophenat,9999.0,64,0,0.013490725126475547,0.0,thiophenated
e-mobility,9999.0,63,0,0.013279932546374367,0.0,e-mobility
derrick,9999.0,63,0,0.013279932546374367,0.0,"derrick, derricks"
duty-hold,9999.0,63,0,0.013279932546374367,0.0,"duty-hold, duty-holder, duty-holders"
democraci,9999.0,63,0,0.013279932546374367,0.0,democracies
semi-colloid,9999.0,63,0,0.013279932546374367,0.0,semi-colloidal
getter,9999.0,62,0,0.013069139966273187,0.0,getters
catid,9999.0,62,0,0.013069139966273187,0.0,catid
plant-growth,9999.0,62,0,0.013069139966273187,0.0,plant-growth
eco-schem,9999.0,62,0,0.013069139966273187,0.0,"eco-scheme, eco-schemes"
viaduct,9999.0,62,0,0.013069139966273187,0.0,"viaduct, viaducts"
resource-efficiency,9999.0,62,0,0.013069139966273187,0.0,resource-efficiency
adriatic-ionian,9999.0,61,0,0.012858347386172007,0.0,adriatic-ionian
p2p,9999.0,61,0,0.012858347386172007,0.0,"p2p, p2ps"
leading-edg,9999.0,60,0,0.012647554806070826,0.0,leading-edge
trengthen,9999.0,60,0,0.012647554806070826,0.0,"trengthen, trengthened, trengthening"
wbif,9999.0,60,0,0.012647554806070826,0.0,wbif
easm,9999.0,60,0,0.012647554806070826,0.0,easme
deck-arrestor,9999.0,59,0,0.012436762225969646,0.0,"deck-arrestor, deck-arrestors"
pile-driv,9999.0,59,0,0.012436762225969646,0.0,"pile-drivers, pile-driving"
fab,9999.0,59,0,0.012436762225969646,0.0,"fab, fabs"
protractor,9999.0,59,0,0.012436762225969646,0.0,protractors
msme,9999.0,58,0,0.012225969645868466,0.0,"msme, msmes"
upbt,9999.0,58,0,0.012225969645868466,0.0,"upbt, upbts"
amazon,9999.0,58,0,0.012225969645868466,0.0,"amazon, amazone, amazons"
upper-ti,9999.0,58,0,0.012225969645868466,0.0,upper-tier
polarimet,9999.0,58,0,0.012225969645868466,0.0,polarimeters
aptitude-test,9999.0,58,0,0.012225969645868466,0.0,aptitude-testing
reprocessor,9999.0,57,0,0.012015177065767284,0.0,"reprocessor, reprocessors"
